,playerID,yearID,stint,teamID,lgID,G,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,IBB,HBP,SH,SF,GIDP
98562,bradlja02,2014,1,BOS,AL,127,384,45,76,19,2,1,30.0,8.0,0.0,31,121.0,1.0,5.0,1.0,2.0,10.0
98563,brantmi02,2014,1,CLE,AL,156,611,94,200,45,2,20,97.0,23.0,1.0,52,56.0,4.0,8.0,0.0,5.0,16.0
98564,braunry02,2014,1,MIL,NL,135,530,68,141,30,6,19,81.0,11.0,5.0,41,113.0,3.0,6.0,0.0,3.0,17.0
98575,browndo01,2014,1,PHI,NL,144,473,47,111,22,1,10,63.0,7.0,1.0,34,91.0,4.0,1.0,0.0,4.0,9.0
98579,bruceja01,2014,1,CIN,NL,137,493,71,107,21,1,18,66.0,12.0,3.0,44,149.0,5.0,2.0,1.0,5.0,8.0
98594,buterdr01,2014,1,LAN,NL,61,170,16,32,6,1,3,14.0,0.0,0.0,17,41.0,1.0,2.0,1.0,2.0,1.0
98595,butlebi03,2014,1,KCA,AL,151,549,57,149,32,0,9,66.0,0.0,0.0,41,96.0,3.0,5.0,0.0,8.0,21.0
98600,byrdma01,2014,1,PHI,NL,154,591,71,156,28,2,25,85.0,3.0,2.0,35,185.0,7.0,8.0,0.0,3.0,6.0
98602,cabreas01,2014,1,CLE,AL,97,378,54,93,22,2,9,40.0,7.0,2.0,27,79.0,1.0,7.0,0.0,4.0,11.0
98603,cabreas01,2014,2,WAS,NL,49,175,20,40,9,2,5,21.0,3.0,0.0,22,29.0,1.0,0.0,1.0,2.0,4.0
98604,cabreev01,2014,1,SDN,NL,90,357,36,83,13,1,3,20.0,18.0,8.0,20,86.0,0.0,1.0,9.0,4.0,5.0
98605,cabreme01,2014,1,TOR,AL,139,568,81,171,35,3,16,73.0,6.0,2.0,43,67.0,3.0,3.0,2.0,5.0,19.0
98606,cabremi01,2014,1,DET,AL,159,611,101,191,52,1,25,109.0,1.0,1.0,60,117.0,10.0,3.0,0.0,11.0,21.0
98608,cainlo01,2014,1,KCA,AL,133,471,55,142,29,4,5,53.0,28.0,5.0,24,108.0,2.0,4.0,0.0,3.0,9.0
98610,calhoko01,2014,1,LAA,AL,127,493,90,134,31,3,17,58.0,5.0,3.0,38,104.0,0.0,2.0,2.0,2.0,5.0
98611,callaal01,2014,1,OAK,AL,127,404,37,90,15,0,4,39.0,0.0,1.0,40,50.0,1.0,1.0,0.0,6.0,18.0
98615,campber01,2014,1,NYN,NL,85,190,16,50,9,0,3,16.0,3.0,0.0,17,55.0,0.0,1.0,0.0,3.0,5.0
98618,canoro01,2014,1,SEA,AL,157,595,77,187,37,2,14,82.0,10.0,3.0,61,68.0,20.0,6.0,0.0,3.0,19.0
98627,carpema01,2014,1,SLN,NL,158,595,99,162,33,2,8,59.0,5.0,3.0,95,111.0,2.0,8.0,2.0,9.0,3.0
98633,cartech02,2014,1,HOU,AL,145,507,68,115,21,1,37,88.0,5.0,2.0,56,182.0,6.0,5.0,0.0,4.0,12.0
98637,casteni01,2014,1,DET,AL,148,533,50,138,31,4,11,66.0,2.0,2.0,36,140.0,3.0,3.0,0.0,7.0,7.0
98639,castiwe01,2014,1,CHN,NL,110,380,28,90,19,0,13,46.0,0.0,0.0,26,102.0,0.0,7.0,2.0,2.0,7.0
98640,castrja01,2014,1,HOU,AL,126,465,43,103,21,2,14,56.0,1.0,0.0,34,151.0,1.0,9.0,1.0,3.0,11.0
98641,castrst01,2014,1,CHN,NL,134,528,58,154,33,1,14,65.0,4.0,4.0,35,100.0,4.0,4.0,0.0,2.0,18.0
98647,cervefr01,2014,1,NYA,AL,49,146,18,44,11,1,2,13.0,1.0,0.0,11,41.0,0.0,5.0,0.0,0.0,5.0
98648,cespeyo01,2014,1,OAK,AL,101,399,62,102,26,3,17,67.0,3.0,2.0,28,80.0,3.0,1.0,0.0,4.0,8.0
98649,cespeyo01,2014,2,BOS,AL,51,201,27,54,10,3,5,33.0,4.0,0.0,7,48.0,0.0,2.0,0.0,3.0,5.0
98656,chaveen01,2014,1,SEA,AL,80,232,22,64,12,2,2,23.0,5.0,2.0,15,30.0,0.0,0.0,9.0,2.0,2.0
98661,chiriro01,2014,1,TEX,AL,93,306,36,73,15,0,13,40.0,0.0,1.0,17,71.0,1.0,7.0,4.0,4.0,4.0
98662,chiselo01,2014,1,CLE,AL,142,478,62,134,29,1,13,59.0,3.0,1.0,39,99.0,3.0,8.0,4.0,3.0,8.0
98664,choicmi01,2014,1,TEX,AL,86,253,20,46,6,1,9,36.0,1.0,0.0,21,69.0,0.0,3.0,0.0,3.0,11.0
98665,choosh01,2014,1,TEX,AL,123,455,58,110,19,1,13,40.0,3.0,4.0,58,131.0,3.0,12.0,0.0,4.0,9.0
98679,coghlch01,2014,1,CHN,NL,125,385,50,109,28,5,9,41.0,7.0,4.0,39,81.0,2.0,3.0,3.0,2.0,5.0
98681,colabch01,2014,1,MIN,AL,59,205,17,47,13,0,6,39.0,0.0,2.0,14,66.0,1.0,1.0,0.0,0.0,2.0
98691,colvity01,2014,1,SFN,NL,57,139,16,31,10,3,2,18.0,1.0,0.0,8,45.0,0.0,1.0,0.0,1.0,3.0
98692,congeha01,2014,1,LAA,AL,80,231,24,51,12,0,4,25.0,0.0,2.0,22,57.0,0.0,2.0,4.0,1.0,6.0
98699,corpoca01,2014,1,HOU,AL,55,170,22,40,6,0,6,19.0,0.0,0.0,14,37.0,0.0,3.0,1.0,2.0,3.0
98706,cowgico01,2014,1,LAA,AL,106,260,37,65,10,1,5,21.0,4.0,0.0,26,74.0,0.0,5.0,2.0,0.0,4.0
98707,cozarza01,2014,1,CIN,NL,147,506,48,112,18,5,4,38.0,7.0,0.0,25,79.0,3.0,7.0,5.0,0.0,13.0
98708,craigal01,2014,1,SLN,NL,97,367,34,87,17,1,7,44.0,1.0,1.0,26,77.0,0.0,3.0,0.0,2.0,11.0
98710,crawfbr01,2014,1,SFN,NL,153,491,54,121,20,10,10,69.0,5.0,3.0,59,129.0,10.0,2.0,2.0,10.0,4.0
98711,crawfca02,2014,1,LAN,NL,105,343,56,103,14,3,8,46.0,23.0,6.0,16,55.0,0.0,6.0,0.0,4.0,5.0
98712,crispco01,2014,1,OAK,AL,126,463,68,114,21,3,9,47.0,19.0,5.0,66,66.0,2.0,0.0,1.0,6.0,3.0
98714,croncj01,2014,1,LAA,AL,79,242,28,62,12,1,11,37.0,0.0,0.0,10,61.0,0.0,1.0,0.0,0.0,10.0
98716,cruzne02,2014,1,BAL,AL,159,613,87,166,32,2,40,108.0,4.0,5.0,55,140.0,8.0,5.0,0.0,5.0,17.0
98717,cruzto03,2014,1,SLN,NL,50,135,11,27,5,0,1,17.0,0.0,3.0,13,28.0,1.0,0.0,2.0,0.0,6.0
98718,cuddymi01,2014,1,COL,NL,49,190,32,63,15,1,10,31.0,3.0,0.0,14,30.0,0.0,0.0,0.0,1.0,5.0
98720,culbech01,2014,1,COL,NL,95,210,17,41,7,2,3,24.0,2.0,2.0,12,62.0,2.0,5.0,4.0,2.0,6.0
98724,danksjo02,2014,1,CHA,AL,51,117,14,26,2,0,2,10.0,5.0,3.0,14,46.0,1.0,0.0,0.0,1.0,1.0
98726,darnatr01,2014,1,NYN,NL,108,385,48,93,22,3,13,41.0,1.0,0.0,32,64.0,5.0,2.0,1.0,1.0,15.0
98729,davisch02,2014,1,BAL,AL,127,450,65,88,16,0,26,72.0,2.0,1.0,60,173.0,9.0,9.0,1.0,5.0,2.0
98731,davisik02,2014,2,PIT,NL,131,336,39,79,18,0,10,46.0,0.0,4.0,57,74.0,3.0,0.0,0.0,4.0,8.0
98732,daviskh01,2014,1,MIL,NL,144,501,70,122,37,2,22,69.0,4.0,1.0,32,122.0,0.0,10.0,0.0,6.0,13.0
98733,davisra01,2014,1,DET,AL,134,461,64,130,27,2,8,51.0,36.0,11.0,22,75.0,0.0,5.0,3.0,3.0,7.0
98735,deazaal01,2014,1,CHA,AL,122,395,45,96,19,5,5,31.0,15.0,7.0,33,100.0,2.0,6.0,2.0,3.0,6.0
98742,dejesda01,2014,1,TBA,AL,83,238,24,59,15,2,6,19.0,0.0,3.0,30,43.0,1.0,5.0,0.0,0.0,7.0
98750,dendema01,2014,1,NYN,NL,53,152,23,38,11,0,0,7.0,7.0,4.0,21,34.0,0.0,1.0,0.0,0.0,1.0
98752,denorch01,2014,1,SDN,NL,89,248,25,60,10,3,1,16.0,8.0,1.0,18,51.0,0.0,0.0,2.0,0.0,4.0
