,playerID,yearID,stint,teamID,lgID,G,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,IBB,HBP,SH,SF,GIDP
103044,carreez01,2017,1,TOR,AL,131,287,38,81,10,1,8,20.0,10.0,1.0,30,75.0,0.0,3.0,5.0,0.0,4.0
103045,cartech02,2017,1,NYA,AL,62,184,20,37,5,1,8,26.0,0.0,0.0,20,76.0,0.0,2.0,0.0,2.0,5.0
103048,casteni01,2017,1,DET,AL,157,614,73,167,36,10,26,101.0,4.0,5.0,41,142.0,0.0,5.0,0.0,5.0,12.0
103051,castiwe01,2017,1,BAL,AL,96,341,44,96,11,0,20,53.0,0.0,0.0,22,97.0,0.0,0.0,0.0,2.0,10.0
103052,castrja01,2017,1,MIN,AL,110,356,49,86,22,0,10,47.0,0.0,0.0,45,108.0,1.0,4.0,1.0,1.0,10.0
103055,castrst01,2017,1,NYA,AL,112,443,66,133,18,1,16,63.0,2.0,0.0,23,93.0,1.0,4.0,0.0,3.0,9.0
103069,chapmma01,2017,1,OAK,AL,84,290,39,68,23,2,14,40.0,0.0,3.0,32,92.0,0.0,2.0,0.0,2.0,2.0
103073,chiriro01,2017,1,TEX,AL,88,263,46,67,13,1,17,38.0,1.0,0.0,34,79.0,0.0,10.0,1.0,1.0,5.0
103074,chiselo01,2017,1,CLE,AL,82,236,34,68,17,1,12,53.0,2.0,2.0,25,55.0,2.0,3.0,3.0,3.0,6.0
103076,choosh01,2017,1,TEX,AL,149,544,96,142,20,1,22,78.0,12.0,3.0,77,134.0,1.0,7.0,3.0,5.0,18.0
103094,collity01,2017,1,DET,AL,49,150,18,29,4,1,5,14.0,0.0,4.0,18,55.0,0.0,0.0,0.0,1.0,2.0
103108,correca01,2017,1,HOU,AL,109,422,82,133,25,1,24,84.0,2.0,1.0,53,92.0,5.0,2.0,0.0,4.0,12.0
103113,cowarka01,2017,1,LAA,AL,50,102,18,23,5,1,3,11.0,4.0,2.0,10,28.0,1.0,3.0,2.0,0.0,4.0
103120,croncj01,2017,1,LAA,AL,100,339,39,84,14,1,16,56.0,3.0,2.0,22,96.0,0.0,7.0,0.0,3.0,5.0
103121,cruzne02,2017,1,SEA,AL,155,556,91,160,28,0,39,119.0,1.0,1.0,70,140.0,7.0,12.0,0.0,7.0,15.0
103128,cuthbch01,2017,1,KCA,AL,58,143,10,33,7,0,2,18.0,0.0,0.0,9,39.0,0.0,0.0,0.0,1.0,2.0
103136,davidma02,2017,1,CHA,AL,118,414,43,91,16,1,26,68.0,0.0,1.0,19,165.0,0.0,5.0,0.0,5.0,12.0
103138,davisch02,2017,1,BAL,AL,128,456,65,98,15,1,26,61.0,1.0,1.0,61,195.0,4.0,3.0,0.0,4.0,7.0
103140,daviskh01,2017,1,OAK,AL,153,566,91,140,28,1,43,110.0,4.0,0.0,73,195.0,1.0,6.0,0.0,7.0,20.0
103141,davisra01,2017,1,OAK,AL,100,300,49,70,17,2,5,18.0,26.0,6.0,26,70.0,1.0,0.0,1.0,1.0,10.0
103156,delmoni01,2017,1,CHA,AL,43,141,25,37,4,0,9,23.0,2.0,0.0,23,31.0,0.0,2.0,0.0,0.0,5.0
103160,deshide02,2017,1,TEX,AL,120,376,75,101,15,2,6,22.0,29.0,8.0,44,109.0,0.0,3.0,13.0,4.0,2.0
103164,deverra01,2017,1,BOS,AL,58,222,34,63,14,0,10,30.0,3.0,1.0,18,57.0,3.0,0.0,0.0,0.0,5.0
103172,diazya01,2017,1,CLE,AL,49,156,25,41,8,1,0,13.0,2.0,0.0,21,35.0,0.0,1.0,0.0,1.0,5.0
103173,dickeco01,2017,1,TBA,AL,150,588,84,166,33,4,27,62.0,4.0,3.0,35,152.0,6.0,3.0,0.0,2.0,11.0
103179,donaljo02,2017,1,TOR,AL,113,415,65,112,21,0,33,78.0,2.0,2.0,76,111.0,1.0,3.0,0.0,2.0,5.0
103182,doziebr01,2017,1,MIN,AL,152,617,106,167,30,4,34,93.0,16.0,7.0,78,141.0,6.0,8.0,0.0,2.0,11.0
103188,dudalu01,2017,2,TBA,AL,52,171,20,30,7,0,13,27.0,0.0,0.0,23,62.0,2.0,4.0,0.0,2.0,3.0
103196,dysonja01,2017,1,SEA,AL,111,346,56,87,13,3,5,30.0,28.0,7.0,28,55.0,2.0,10.0,4.0,2.0,3.0
103208,ellsbja01,2017,1,NYA,AL,112,356,65,94,20,4,7,39.0,22.0,3.0,41,63.0,3.0,5.0,2.0,0.0,7.0
103209,encared01,2017,1,CLE,AL,157,554,96,143,20,1,38,107.0,2.0,0.0,104,133.0,5.0,5.0,0.0,5.0,18.0
103210,engelad01,2017,1,CHA,AL,97,301,34,50,11,3,6,21.0,8.0,1.0,19,117.0,0.0,8.0,8.0,0.0,1.0
103214,escobal02,2017,1,KCA,AL,162,599,71,150,36,5,6,54.0,4.0,7.0,15,102.0,1.0,4.0,7.0,4.0,14.0
103215,escobed01,2017,1,MIN,AL,129,457,62,116,16,5,21,73.0,5.0,1.0,33,98.0,3.0,5.0,1.0,3.0,5.0
103216,escobyu01,2017,1,LAA,AL,89,350,43,96,20,1,7,31.0,1.0,4.0,29,51.0,0.0,2.0,0.0,0.0,15.0
103217,espinda01,2017,1,LAA,AL,77,228,27,37,8,0,6,29.0,3.0,5.0,19,91.0,1.0,4.0,1.0,2.0,2.0
103247,fishede01,2017,1,HOU,AL,53,146,21,31,4,1,5,17.0,3.0,3.0,17,54.0,1.0,3.0,0.0,0.0,1.0
103269,frazicl01,2017,1,NYA,AL,39,134,16,31,9,4,4,17.0,1.0,0.0,7,43.0,0.0,0.0,0.0,1.0,2.0
103270,frazito01,2017,1,CHA,AL,81,280,41,58,15,0,16,44.0,4.0,3.0,48,71.0,1.0,4.0,0.0,3.0,4.0
103271,frazito01,2017,2,NYA,AL,66,194,33,43,4,1,11,32.0,0.0,0.0,35,54.0,1.0,10.0,0.0,2.0,6.0
103291,gallojo01,2017,1,TEX,AL,145,449,85,94,18,3,41,80.0,7.0,2.0,75,196.0,1.0,8.0,0.0,0.0,3.0
103293,gamelbe01,2017,1,SEA,AL,134,509,68,140,27,5,11,59.0,4.0,1.0,36,122.0,1.0,1.0,1.0,3.0,8.0
103296,garciav01,2017,1,CHA,AL,136,518,75,171,27,5,18,80.0,5.0,3.0,33,111.0,5.0,9.0,0.0,1.0,14.0
103303,garcile02,2017,1,CHA,AL,87,300,41,81,15,2,9,33.0,8.0,5.0,13,69.0,0.0,8.0,3.0,2.0,4.0
103306,garciwi01,2017,1,CHA,AL,44,105,15,25,5,3,2,12.0,0.0,0.0,11,31.0,0.0,0.0,1.0,2.0,2.0
103308,gardnbr01,2017,1,NYA,AL,151,594,96,157,26,4,21,63.0,23.0,5.0,72,122.0,2.0,8.0,5.0,3.0,4.0
103316,gattiev01,2017,1,HOU,AL,84,300,41,79,22,0,12,55.0,0.0,1.0,18,50.0,0.0,4.0,0.0,3.0,10.0
103324,gentrcr01,2017,1,BAL,AL,77,101,17,26,5,1,2,11.0,5.0,4.0,11,24.0,0.0,1.0,3.0,1.0,1.0
103331,gimench01,2017,1,MIN,AL,77,186,28,41,9,0,7,16.0,1.0,0.0,33,60.0,0.0,4.0,2.0,0.0,3.0
103340,goinsry01,2017,1,TOR,AL,143,418,37,99,21,1,9,62.0,3.0,2.0,31,96.0,0.0,0.0,5.0,5.0,14.0
103343,gomesya01,2017,1,CLE,AL,105,341,43,79,15,0,14,56.0,0.0,0.0,31,99.0,0.0,8.0,1.0,2.0,9.0
103344,gomezca01,2017,1,TEX,AL,105,368,51,94,23,1,17,51.0,13.0,5.0,31,127.0,0.0,19.0,3.0,5.0,3.0
103350,gonzaer01,2017,1,CLE,AL,60,110,18,28,6,0,4,11.0,1.0,2.0,3,37.0,0.0,0.0,1.0,1.0,1.0
103352,gonzama01,2017,1,HOU,AL,134,455,67,138,34,0,23,90.0,8.0,3.0,49,99.0,4.0,6.0,3.0,2.0,8.0
103360,gordoal01,2017,1,KCA,AL,148,476,52,99,20,2,9,45.0,7.0,4.0,45,126.0,3.0,14.0,2.0,4.0,7.0
103368,gourryu01,2017,1,HOU,AL,139,529,69,158,43,1,18,75.0,3.0,2.0,22,62.0,1.0,7.0,0.0,6.0,12.0
103383,gregodi01,2017,1,NYA,AL,136,534,73,153,27,0,25,87.0,3.0,1.0,25,70.0,1.0,3.0,0.0,7.0,7.0
103390,grossro01,2017,1,MIN,AL,119,382,62,94,22,1,9,45.0,3.0,1.0,67,79.0,0.0,3.0,2.0,2.0,6.0
103400,guyerbr01,2017,1,CLE,AL,70,165,23,39,7,1,2,20.0,2.0,0.0,15,43.0,0.0,8.0,2.0,2.0,4.0
103409,hanigmi01,2017,1,SEA,AL,96,369,58,104,25,2,16,47.0,5.0,4.0,31,93.0,0.0,9.0,1.0,0.0,9.0
103413,hansoal01,2017,2,CHA,AL,69,160,28,37,9,1,4,10.0,9.0,2.0,10,43.0,0.0,1.0,1.0,3.0,5.0
103417,hardyjj01,2017,1,BAL,AL,73,254,24,55,13,1,4,24.0,0.0,1.0,12,48.0,0.0,1.0,1.0,0.0,7.0
103429,headlch01,2017,1,NYA,AL,147,512,77,140,30,1,12,61.0,9.0,2.0,60,132.0,2.0,6.0,1.0,7.0,10.0
103430,healyry01,2017,1,OAK,AL,149,576,66,156,29,0,25,78.0,0.0,1.0,23,142.0,0.0,4.0,0.0,2.0,16.0
103433,hechaad01,2017,2,TBA,AL,77,265,29,68,12,4,7,24.0,4.0,1.0,12,58.0,1.0,1.0,1.0,2.0,6.0
103442,heredgu01,2017,1,SEA,AL,123,386,43,96,16,0,6,24.0,1.0,5.0,27,64.0,2.0,11.0,1.0,1.0,9.0
103460,hicksaa01,2017,1,NYA,AL,88,301,54,80,18,0,15,52.0,10.0,5.0,51,67.0,0.0,3.0,1.0,5.0,8.0
103461,hicksjo02,2017,1,DET,AL,60,173,25,46,12,0,6,22.0,2.0,1.0,13,51.0,0.0,3.0,0.0,1.0,5.0
103471,hollima01,2017,1,NYA,AL,105,373,50,86,18,0,19,64.0,1.0,0.0,46,114.0,0.0,3.0,0.0,5.0,14.0
103473,holtbr01,2017,1,BOS,AL,64,140,20,28,6,0,0,7.0,2.0,1.0,19,34.0,0.0,3.0,0.0,2.0,3.0
103476,hosmeer01,2017,1,KCA,AL,162,603,98,192,31,1,25,94.0,6.0,1.0,66,104.0,3.0,0.0,0.0,2.0,20.0
103491,iglesjo01,2017,1,DET,AL,130,463,56,118,33,1,6,54.0,7.0,4.0,21,65.0,0.0,1.0,3.0,1.0,6.0
103496,jacksau01,2017,1,CLE,AL,85,280,46,89,19,3,7,35.0,3.0,1.0,33,64.0,0.0,1.0,0.0,4.0,13.0
103518,jonesad01,2017,1,BAL,AL,147,597,82,170,28,1,26,73.0,2.0,1.0,27,113.0,1.0,7.0,1.0,3.0,18.0
103519,jonesja07,2017,1,DET,AL,56,141,14,24,3,1,3,13.0,6.0,2.0,9,65.0,0.0,4.0,0.0,0.0,5.0
103523,josepca01,2017,1,BAL,AL,89,254,31,65,14,1,8,28.0,0.0,0.0,10,72.0,0.0,1.0,1.0,0.0,7.0
103525,joycema01,2017,1,OAK,AL,141,469,78,114,33,0,25,68.0,4.0,1.0,66,113.0,0.0,2.0,0.0,7.0,10.0
103526,judgeaa01,2017,1,NYA,AL,155,542,128,154,24,3,52,114.0,9.0,4.0,127,208.0,11.0,5.0,0.0,4.0,15.0
103544,keplema01,2017,1,MIN,AL,147,511,67,124,32,2,19,69.0,6.0,1.0,47,114.0,2.0,6.0,1.0,3.0,5.0
103547,kiermke01,2017,1,TBA,AL,98,380,56,105,15,3,15,39.0,16.0,7.0,31,99.0,2.0,5.0,4.0,1.0,3.0
103549,kimhy01,2017,1,BAL,AL,56,125,11,29,4,0,1,10.0,0.0,0.0,12,27.0,0.0,2.0,0.0,2.0,2.0
103551,kinslia01,2017,1,DET,AL,139,551,90,130,25,3,22,52.0,14.0,5.0,55,86.0,2.0,7.0,0.0,0.0,9.0
103554,kipnija01,2017,1,CLE,AL,90,336,43,78,25,0,12,35.0,6.0,2.0,28,71.0,0.0,2.0,2.0,5.0,0.0
103595,leonsa01,2017,1,BOS,AL,85,271,32,61,14,0,7,39.0,0.0,0.0,25,74.0,1.0,1.0,1.0,3.0,5.0
103601,lindofr01,2017,1,CLE,AL,159,651,99,178,44,4,33,89.0,15.0,3.0,60,93.0,6.0,4.0,5.0,3.0,11.0
103613,longoev01,2017,1,TBA,AL,156,613,71,160,36,2,20,86.0,6.0,1.0,46,109.0,3.0,6.0,0.0,12.0,18.0
103619,lowrije01,2017,1,OAK,AL,153,567,86,157,49,3,14,69.0,0.0,1.0,73,100.0,2.0,2.0,0.0,3.0,10.0
103621,lucrojo01,2017,1,TEX,AL,77,281,27,68,15,0,4,27.0,1.0,0.0,19,32.0,0.0,4.0,0.0,2.0,10.0
103630,machadi01,2017,1,DET,AL,73,166,17,43,5,1,1,11.0,1.0,0.0,10,32.0,0.0,1.0,2.0,2.0,6.0
103631,machama01,2017,1,BAL,AL,156,630,81,163,33,1,33,95.0,9.0,4.0,50,115.0,3.0,1.0,0.0,9.0,17.0
103639,mahtomi01,2017,1,DET,AL,109,348,50,96,15,6,12,38.0,6.0,0.0,23,79.0,0.0,6.0,0.0,2.0,4.0
103640,mailelu01,2017,1,TOR,AL,46,130,10,19,5,0,2,7.0,1.0,0.0,3,35.0,0.0,2.0,0.0,1.0,2.0
103641,maldoma01,2017,1,LAA,AL,138,429,43,95,19,1,14,38.0,0.0,2.0,15,119.0,1.0,18.0,8.0,1.0,12.0
103643,mancitr01,2017,1,BAL,AL,147,543,65,159,26,4,24,78.0,1.0,0.0,33,139.0,1.0,6.0,0.0,4.0,12.0
103650,marisja01,2017,1,HOU,AL,106,230,50,56,10,0,16,35.0,9.0,4.0,20,90.0,1.0,6.0,2.0,1.0,5.0
103656,marrede01,2017,1,BOS,AL,71,171,32,36,9,0,4,27.0,5.0,0.0,12,61.0,0.0,0.0,3.0,2.0,8.0
103659,marteje01,2017,1,LAA,AL,45,127,10,22,5,0,4,14.0,1.0,0.0,13,34.0,0.0,4.0,0.0,1.0,2.0
103664,martijd02,2017,1,DET,AL,57,200,38,61,13,2,16,39.0,2.0,0.0,29,54.0,5.0,0.0,0.0,3.0,10.0
103668,martile01,2017,1,SEA,AL,34,115,12,20,2,1,3,8.0,6.0,4.0,5,29.0,1.0,2.0,0.0,0.0,2.0
103673,martiru01,2017,1,TOR,AL,91,307,49,68,12,0,13,35.0,1.0,2.0,50,83.0,0.0,7.0,1.0,0.0,13.0
103674,martivi01,2017,1,DET,AL,107,392,38,100,16,0,10,47.0,0.0,0.0,36,63.0,3.0,5.0,0.0,2.0,15.0
103678,mauerjo01,2017,1,MIN,AL,141,525,69,160,36,1,7,71.0,2.0,1.0,66,83.0,3.0,3.0,0.0,3.0,17.0
