,playerID,yearID,stint,teamID,lgID,G,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,IBB,HBP,SH,SF,GIDP
67654,davisch01,1990,1,CAL,AL,113,412,58,109,17,1,12,58.0,1.0,2.0,61,89.0,4.0,0.0,0.0,3.0,14.0
67664,deerro01,1990,1,ML4,AL,134,440,57,92,15,1,27,69.0,2.0,3.0,64,147.0,6.0,4.0,0.0,3.0,0.0
67671,devermi01,1990,1,BAL,AL,108,367,48,88,18,1,12,49.0,13.0,12.0,28,48.0,0.0,0.0,4.0,4.0,10.0
67674,diazed01,1990,1,ML4,AL,86,218,27,59,2,2,0,14.0,3.0,2.0,21,32.0,0.0,1.0,5.0,0.0,3.0
67685,downibr01,1990,1,CAL,AL,96,330,47,90,18,2,14,51.0,0.0,0.0,50,45.0,2.0,6.0,0.0,4.0,11.0
67702,eisenji01,1990,1,KCA,AL,142,496,61,139,29,7,5,51.0,12.0,14.0,42,51.0,2.0,1.0,2.0,4.0,7.0
67709,espinal01,1990,1,NYA,AL,150,438,31,98,12,2,2,20.0,1.0,2.0,16,54.0,0.0,5.0,11.0,2.0,13.0
67711,evansdw01,1990,1,BOS,AL,123,445,66,111,18,3,13,63.0,3.0,4.0,67,73.0,5.0,4.0,0.0,6.0,18.0
67716,feldemi01,1990,1,ML4,AL,121,237,38,65,7,2,3,27.0,20.0,9.0,22,17.0,0.0,0.0,8.0,5.0,0.0
67717,felixju01,1990,1,TOR,AL,127,463,73,122,23,7,15,65.0,13.0,8.0,45,99.0,0.0,2.0,2.0,5.0,4.0
67718,fermife01,1990,1,CLE,AL,148,414,47,106,13,2,1,40.0,3.0,3.0,26,22.0,0.0,0.0,13.0,5.0,13.0
67721,fernato01,1990,1,TOR,AL,161,635,84,175,27,17,4,66.0,26.0,13.0,71,70.0,4.0,7.0,2.0,6.0,17.0
67723,fieldce01,1990,1,DET,AL,159,573,104,159,25,1,51,132.0,0.0,1.0,90,182.0,11.0,5.0,0.0,5.0,15.0
67727,finlest01,1990,1,BAL,AL,142,464,46,119,16,4,3,37.0,22.0,9.0,32,53.0,3.0,2.0,10.0,5.0,8.0
67729,fiskca01,1990,1,CHA,AL,137,452,65,129,21,0,18,65.0,7.0,2.0,61,73.0,8.0,7.0,0.0,1.0,12.0
67734,fletcsc01,1990,1,CHA,AL,151,509,54,123,18,3,4,56.0,1.0,3.0,45,63.0,3.0,3.0,11.0,5.0,10.0
67739,francju01,1990,1,TEX,AL,157,582,96,172,27,1,11,69.0,31.0,10.0,82,83.0,3.0,2.0,2.0,2.0,12.0
67746,frymatr01,1990,1,DET,AL,66,232,32,69,11,1,9,27.0,3.0,3.0,17,51.0,0.0,1.0,1.0,0.0,3.0
67747,gaettga01,1990,1,MIN,AL,154,577,61,132,27,5,16,85.0,6.0,1.0,36,101.0,1.0,3.0,1.0,8.0,22.0
67748,gagnegr01,1990,1,MIN,AL,138,388,38,91,22,3,7,38.0,8.0,8.0,24,76.0,0.0,1.0,8.0,2.0,5.0
67752,gallemi01,1990,1,OAK,AL,140,389,36,80,13,2,3,34.0,5.0,5.0,35,50.0,0.0,4.0,17.0,2.0,13.0
67753,gantnji01,1990,1,ML4,AL,88,323,36,85,8,5,0,25.0,18.0,3.0,29,19.0,0.0,2.0,4.0,0.0,10.0
67763,gerenbo01,1990,1,NYA,AL,110,277,21,59,7,0,8,31.0,0.0,0.0,13,73.0,1.0,5.0,6.0,2.0,7.0
67771,gladdda01,1990,1,MIN,AL,136,534,64,147,27,6,5,40.0,25.0,9.0,26,67.0,2.0,6.0,1.0,4.0,17.0
67779,gonzare01,1990,1,BAL,AL,67,103,13,22,3,1,1,12.0,1.0,2.0,12,14.0,0.0,0.0,6.0,0.0,3.0
67789,grebecr01,1990,1,CHA,AL,59,119,7,20,3,1,1,9.0,0.0,0.0,8,24.0,0.0,2.0,3.0,3.0,2.0
67791,greenmi01,1990,1,BOS,AL,159,610,71,181,30,6,14,73.0,8.0,7.0,65,43.0,12.0,4.0,0.0,3.0,19.0
67798,griffke02,1990,1,SEA,AL,155,597,91,179,28,7,22,80.0,16.0,11.0,63,81.0,12.0,2.0,0.0,4.0,12.0
67803,grubeke01,1990,1,TOR,AL,150,592,92,162,36,6,31,118.0,14.0,2.0,48,94.0,2.0,8.0,1.0,13.0,14.0
67808,guilloz01,1990,1,CHA,AL,160,516,61,144,21,4,1,58.0,13.0,17.0,26,37.0,8.0,1.0,15.0,5.0,6.0
67817,hallme01,1990,1,NYA,AL,113,360,41,93,23,2,12,46.0,0.0,0.0,6,46.0,2.0,2.0,0.0,3.0,7.0
67818,hamilda02,1990,1,ML4,AL,89,156,27,46,5,0,1,18.0,10.0,3.0,9,12.0,0.0,0.0,3.0,0.0,2.0
67827,harpebr01,1990,1,MIN,AL,134,479,61,141,42,3,6,54.0,3.0,2.0,19,27.0,2.0,7.0,0.0,4.0,20.0
67836,hassero01,1990,1,OAK,AL,94,254,18,54,7,0,5,22.0,0.0,0.0,27,29.0,3.0,1.0,1.0,3.0,3.0
