,playerID,yearID,stint,teamID,lgID,G,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,IBB,HBP,SH,SF,GIDP
103273,freemfr01,2017,1,ATL,NL,117,440,84,135,35,2,28,71.0,8.0,5.0,65,95.0,14.0,7.0,0.0,2.0,9.0
103278,freesda01,2017,1,PIT,NL,130,426,44,112,16,0,10,52.0,0.0,1.0,58,116.0,5.0,15.0,0.0,4.0,10.0
103284,fuentre01,2017,1,ARI,NL,64,136,19,32,1,2,3,9.0,4.0,1.0,8,35.0,0.0,0.0,1.0,0.0,0.0
103292,galvifr01,2017,1,PHI,NL,162,608,71,155,29,6,12,61.0,14.0,5.0,45,111.0,2.0,4.0,2.0,4.0,12.0
103295,garciad01,2017,1,ATL,NL,52,173,19,41,4,0,5,19.0,4.0,0.0,7,23.0,0.0,2.0,0.0,1.0,9.0
103297,garcigr01,2017,1,SLN,NL,133,241,27,61,9,2,2,20.0,2.0,1.0,37,64.0,0.0,6.0,5.0,1.0,6.0
103323,gennesc01,2017,1,CIN,NL,141,461,80,136,22,3,27,97.0,3.0,2.0,30,114.0,1.0,4.0,0.0,2.0,15.0
103342,goldspa01,2017,1,ARI,NL,155,558,117,166,34,3,36,120.0,18.0,5.0,94,147.0,15.0,8.0,0.0,4.0,14.0
103348,gonzaad01,2017,1,LAN,NL,71,231,14,56,17,0,3,30.0,0.0,1.0,16,43.0,1.0,0.0,0.0,4.0,7.0
103349,gonzaca01,2017,1,COL,NL,136,470,72,123,34,0,14,57.0,3.0,0.0,56,119.0,3.0,2.0,0.0,6.0,9.0
103358,goodwbr01,2017,1,WAS,NL,74,251,41,63,21,1,13,30.0,6.0,0.0,23,69.0,2.0,1.0,0.0,3.0,3.0
103361,gordode01,2017,1,MIA,NL,158,653,114,201,20,9,2,33.0,60.0,16.0,25,93.0,0.0,10.0,2.0,4.0,7.0
103370,grandcu01,2017,1,NYN,NL,111,337,58,77,22,3,19,52.0,4.0,2.0,53,90.0,2.0,2.0,0.0,3.0,4.0
103371,grandcu01,2017,2,LAN,NL,36,112,16,18,2,0,7,12.0,2.0,0.0,18,33.0,0.0,2.0,0.0,0.0,1.0
103372,grandya01,2017,1,LAN,NL,129,438,50,108,27,0,22,58.0,0.0,1.0,40,130.0,0.0,0.0,1.0,3.0,10.0
103385,grichra01,2017,1,SLN,NL,122,412,53,98,25,3,22,59.0,6.0,1.0,26,133.0,3.0,2.0,0.0,2.0,9.0
103401,gyorkje01,2017,1,SLN,NL,125,426,52,116,21,2,20,67.0,6.0,2.0,47,105.0,1.0,1.0,0.0,7.0,12.0
103406,hamilbi02,2017,1,CIN,NL,139,582,85,144,17,11,4,38.0,59.0,13.0,44,133.0,0.0,0.0,5.0,2.0,5.0
103410,hanigry01,2017,1,COL,NL,33,101,9,27,2,0,2,12.0,0.0,0.0,8,26.0,2.0,1.0,1.0,1.0,5.0
103414,happia01,2017,1,CHN,NL,115,364,62,92,17,3,24,68.0,8.0,4.0,39,129.0,5.0,4.0,2.0,4.0,12.0
103418,harpebr03,2017,1,WAS,NL,111,420,95,134,27,1,29,87.0,4.0,2.0,68,99.0,11.0,1.0,0.0,3.0,15.0
103420,harrijo05,2017,1,PIT,NL,128,486,66,132,26,2,16,47.0,12.0,4.0,28,90.0,2.0,23.0,2.0,3.0,5.0
103434,hedgeau01,2017,1,SDN,NL,120,387,36,83,17,0,18,55.0,4.0,1.0,23,122.0,3.0,3.0,1.0,3.0,10.0
103444,hernace02,2017,1,PHI,NL,128,511,85,150,26,6,9,34.0,15.0,5.0,61,104.0,1.0,4.0,0.0,1.0,8.0
103447,hernaen02,2017,1,LAN,NL,140,297,46,64,24,2,11,37.0,3.0,0.0,41,80.0,2.0,0.0,1.0,3.0,4.0
103449,hernago01,2017,1,SFN,NL,128,310,40,79,20,1,0,22.0,12.0,4.0,31,73.0,3.0,3.0,2.0,2.0,6.0
103454,herreod01,2017,1,PHI,NL,138,526,67,148,42,3,14,56.0,8.0,5.0,31,126.0,4.0,4.0,0.0,2.0,13.0
103456,herrmch01,2017,1,ARI,NL,106,226,35,41,7,0,10,27.0,5.0,0.0,29,67.0,0.0,0.0,0.0,1.0,1.0
103459,heywaja01,2017,1,CHN,NL,126,432,59,112,15,4,11,59.0,4.0,4.0,41,67.0,1.0,3.0,2.0,2.0,8.0
103475,hoskirh01,2017,1,PHI,NL,50,170,37,44,7,0,18,48.0,2.0,0.0,37,46.0,1.0,3.0,0.0,2.0,2.0
103486,hundlni01,2017,1,SFN,NL,101,287,27,70,23,0,9,35.0,0.0,0.0,12,81.0,2.0,0.0,2.0,2.0,6.0
103490,iannech01,2017,1,ARI,NL,89,272,38,69,19,0,17,43.0,0.0,0.0,37,87.0,0.0,6.0,0.0,1.0,3.0
103493,inciaen01,2017,1,ATL,NL,157,662,93,201,27,5,11,57.0,22.0,9.0,49,94.0,3.0,0.0,3.0,4.0,8.0
103504,jasojo01,2017,1,PIT,NL,126,256,28,54,19,0,10,35.0,1.0,1.0,40,66.0,2.0,5.0,0.0,1.0,5.0
103506,jayjo02,2017,1,CHN,NL,141,379,65,112,18,3,2,34.0,6.0,2.0,37,80.0,3.0,12.0,3.0,2.0,11.0
103521,jonesry01,2017,1,SFN,NL,53,150,12,26,5,2,2,5.0,1.0,0.0,10,52.0,3.0,4.0,0.0,0.0,3.0
103524,josepto01,2017,1,PHI,NL,142,495,51,119,27,1,22,69.0,1.0,0.0,33,129.0,1.0,2.0,0.0,3.0,21.0
103538,kempma01,2017,1,ATL,NL,115,438,47,121,23,1,19,64.0,0.0,2.0,27,99.0,5.0,0.0,0.0,1.0,25.0
103540,kendrho01,2017,1,PHI,NL,39,141,16,48,8,1,2,16.0,8.0,3.0,11,30.0,0.0,3.0,0.0,1.0,4.0
103541,kendrho01,2017,2,WAS,NL,52,164,24,48,8,2,7,25.0,4.0,2.0,11,38.0,0.0,2.0,0.0,1.0,4.0
103556,kivlepa01,2017,1,CIN,NL,115,178,23,37,5,1,9,26.0,1.0,2.0,22,61.0,1.0,3.0,0.0,1.0,2.0
103558,knappan01,2017,1,PHI,NL,56,171,26,44,8,1,3,13.0,1.0,0.0,31,56.0,4.0,0.0,0.0,2.0,5.0
103573,lagarju01,2017,1,NYN,NL,94,252,37,63,16,2,3,15.0,7.0,3.0,14,56.0,0.0,3.0,2.0,1.0,6.0
103575,lambja01,2017,1,ARI,NL,149,536,89,133,30,4,30,105.0,6.0,4.0,87,152.0,13.0,7.0,0.0,5.0,15.0
103577,lasteto01,2017,1,CHN,NL,73,125,18,36,8,0,5,22.0,0.0,0.0,20,18.0,1.0,2.0,0.0,2.0,3.0
103592,lemahdj01,2017,1,COL,NL,155,609,95,189,28,4,8,64.0,6.0,5.0,59,90.0,1.0,6.0,3.0,5.0,24.0
103599,lindad01,2017,1,WAS,NL,116,267,39,81,14,0,14,59.0,1.0,0.0,28,47.0,5.0,0.0,0.0,6.0,6.0
103608,lobatjo01,2017,1,WAS,NL,51,141,11,24,3,0,4,11.0,0.0,0.0,14,35.0,1.0,1.0,1.0,1.0,5.0
103622,lucrojo01,2017,2,COL,NL,46,142,18,44,6,3,2,13.0,0.0,0.0,27,19.0,6.0,4.0,0.0,2.0,6.0
103646,margoma01,2017,1,SDN,NL,126,487,53,128,18,7,13,39.0,17.0,7.0,35,106.0,0.0,2.0,1.0,4.0,6.0
103652,markani01,2017,1,ATL,NL,160,593,76,163,39,1,8,76.0,0.0,2.0,68,110.0,8.0,6.0,0.0,3.0,16.0
103660,marteke01,2017,1,ARI,NL,73,223,30,58,11,2,5,18.0,3.0,1.0,29,37.0,3.0,1.0,0.0,2.0,3.0
103661,martest01,2017,1,PIT,NL,77,309,48,85,7,2,7,31.0,21.0,4.0,20,63.0,0.0,8.0,0.0,2.0,5.0
103665,martijd02,2017,2,ARI,NL,62,232,47,70,13,1,29,65.0,2.0,0.0,24,74.0,3.0,0.0,0.0,1.0,13.0
103666,martijo08,2017,1,SLN,NL,106,272,47,84,13,1,14,46.0,4.0,0.0,32,60.0,2.0,0.0,1.0,2.0,9.0
103675,mathije01,2017,1,ARI,NL,60,186,13,40,10,2,2,11.0,1.0,0.0,14,61.0,1.0,2.0,1.0,0.0,6.0
103695,mccutan01,2017,1,PIT,NL,156,570,94,159,30,2,28,88.0,11.0,5.0,73,116.0,5.0,4.0,0.0,3.0,10.0
103713,mercejo03,2017,1,PIT,NL,145,502,52,128,24,5,14,58.0,0.0,4.0,51,88.0,13.0,3.0,0.0,2.0,16.0
103716,mesorde01,2017,1,CIN,NL,56,141,17,30,5,1,6,14.0,1.0,0.0,18,38.0,0.0,5.0,0.0,1.0,4.0
103732,molinya01,2017,1,SLN,NL,136,501,60,137,27,1,18,82.0,9.0,4.0,28,74.0,4.0,4.0,1.0,9.0,14.0
103745,moorety01,2017,1,MIA,NL,104,187,17,43,14,0,6,30.0,0.0,0.0,10,56.0,0.0,1.0,1.0,4.0,7.0
103753,morofma01,2017,1,PIT,NL,56,120,19,24,4,1,3,21.0,0.0,1.0,16,43.0,0.0,2.0,1.0,1.0,0.0
103768,murphda08,2017,1,WAS,NL,144,534,94,172,43,3,23,93.0,2.0,0.0,52,77.0,14.0,4.0,0.0,3.0,16.0
103772,myerswi01,2017,1,SDN,NL,155,567,80,138,29,3,30,74.0,20.0,6.0,70,180.0,3.0,5.0,0.0,7.0,15.0
103776,navada01,2017,1,PHI,NL,80,183,21,55,8,1,4,21.0,1.0,0.0,26,38.0,0.0,3.0,0.0,2.0,2.0
103794,nimmobr01,2017,1,NYN,NL,69,177,26,46,11,1,5,21.0,2.0,0.0,33,60.0,1.0,2.0,1.0,2.0,3.0
103801,nunezed02,2017,1,SFN,NL,76,302,37,93,21,0,4,31.0,18.0,5.0,12,29.0,0.0,1.0,1.0,2.0,8.0
103819,osunajo01,2017,1,PIT,NL,104,215,31,50,13,4,7,30.0,0.0,0.0,9,40.0,0.0,2.0,0.0,1.0,10.0
103825,owingch01,2017,1,ARI,NL,97,362,41,97,25,1,12,51.0,12.0,2.0,17,87.0,0.0,1.0,2.0,4.0,3.0
103826,ozunama01,2017,1,MIA,NL,159,613,93,191,30,2,37,124.0,1.0,3.0,64,144.0,4.0,0.0,0.0,2.0,18.0
103828,panikjo01,2017,1,SFN,NL,138,511,60,147,28,5,10,53.0,4.0,1.0,46,54.0,4.0,5.0,3.0,8.0,10.0
103832,parkeja03,2017,1,SFN,NL,51,166,14,41,12,2,4,23.0,2.0,1.0,10,54.0,2.0,1.0,0.0,0.0,2.0
103834,parrage01,2017,1,COL,NL,115,392,56,121,24,1,10,71.0,2.0,5.0,20,67.0,0.0,4.0,0.0,9.0,13.0
103840,pederjo01,2017,1,LAN,NL,102,273,44,58,20,0,11,35.0,4.0,3.0,39,68.0,1.0,10.0,0.0,1.0,7.0
103845,pencehu01,2017,1,SFN,NL,134,493,55,128,13,5,13,67.0,2.0,3.0,40,102.0,1.0,2.0,0.0,4.0,8.0
