,playerID,yearID,stint,teamID,lgID,G,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,IBB,HBP,SH,SF,GIDP
67695,dykstle01,1990,1,PHI,NL,149,590,106,192,35,3,9,60.0,33.0,5.0,89,48.0,14.0,7.0,2.0,3.0,5.0
67703,elsteke01,1990,1,NYN,NL,92,314,36,65,20,1,9,45.0,2.0,0.0,30,54.0,2.0,1.0,1.0,6.0,4.0
67730,fitzgmi02,1990,1,MON,NL,111,313,36,76,18,1,9,41.0,8.0,1.0,60,60.0,2.0,2.0,5.0,3.0,5.0
67735,foleyto02,1990,1,MON,NL,73,164,11,35,2,1,0,12.0,0.0,1.0,12,22.0,2.0,0.0,1.0,1.0,4.0
67749,galaran01,1990,1,MON,NL,155,579,65,148,29,0,20,87.0,10.0,1.0,40,169.0,8.0,4.0,0.0,5.0,14.0
67754,gantro01,1990,1,ATL,NL,152,575,107,174,34,3,32,84.0,33.0,16.0,50,86.0,0.0,1.0,1.0,4.0,8.0
67762,gedmari01,1990,2,HOU,NL,40,104,4,21,7,0,1,10.0,0.0,0.0,15,24.0,6.0,0.0,2.0,1.0,2.0
67764,gibsoki01,1990,1,LAN,NL,89,315,59,82,20,0,8,38.0,26.0,2.0,39,65.0,0.0,3.0,0.0,2.0,4.0
67770,girarjo01,1990,1,CHN,NL,133,419,36,113,24,2,1,38.0,8.0,3.0,17,50.0,11.0,3.0,4.0,4.0,13.0
67774,goffje01,1990,1,MON,NL,52,119,14,27,1,0,3,7.0,0.0,2.0,21,36.0,4.0,0.0,1.0,0.0,0.0
67784,gracema01,1990,1,CHN,NL,157,589,72,182,32,1,9,82.0,15.0,6.0,59,54.0,5.0,5.0,1.0,8.0,10.0
67794,greggto01,1990,1,ATL,NL,124,239,18,63,13,1,5,32.0,4.0,3.0,20,39.0,4.0,1.0,0.0,1.0,1.0
67795,griffal01,1990,1,LAN,NL,141,461,38,97,11,3,1,35.0,6.0,3.0,29,65.0,11.0,2.0,6.0,4.0,5.0
67800,grissma02,1990,1,MON,NL,98,288,42,74,14,2,3,29.0,22.0,2.0,27,40.0,2.0,0.0,4.0,1.0,3.0
67806,guerrpe01,1990,1,SLN,NL,136,498,42,140,31,1,13,80.0,1.0,1.0,44,70.0,14.0,1.0,0.0,11.0,14.0
67812,gwynnch01,1990,1,LAN,NL,101,141,19,40,2,1,5,22.0,0.0,1.0,7,28.0,2.0,0.0,0.0,3.0,2.0
67813,gwynnto01,1990,1,SDN,NL,141,573,79,177,29,10,4,72.0,17.0,8.0,44,23.0,20.0,1.0,7.0,4.0,13.0
67831,harrile01,1990,1,LAN,NL,137,431,61,131,16,4,2,29.0,15.0,10.0,29,31.0,2.0,1.0,3.0,1.0,8.0
67837,hatchbi01,1990,1,CIN,NL,139,504,68,139,28,5,5,25.0,30.0,10.0,33,42.0,5.0,6.0,1.0,1.0,4.0
67838,hatchmi01,1990,1,LAN,NL,85,132,12,28,3,1,0,13.0,0.0,0.0,6,22.0,1.0,1.0,0.0,2.0,1.0
67840,hayesch01,1990,1,PHI,NL,152,561,56,145,20,0,10,57.0,4.0,4.0,28,91.0,3.0,2.0,0.0,6.0,12.0
67841,hayesvo01,1990,1,PHI,NL,129,467,70,122,14,3,17,73.0,16.0,7.0,87,81.0,16.0,4.0,0.0,10.0,10.0
67855,herrto01,1990,1,PHI,NL,119,447,39,118,21,3,4,50.0,7.0,1.0,36,47.0,4.0,2.0,6.0,2.0,10.0
67856,herrto01,1990,2,NYN,NL,27,100,9,25,5,0,1,10.0,0.0,0.0,14,11.0,0.0,0.0,0.0,0.0,1.0
67871,hollida01,1990,1,PHI,NL,72,114,14,21,0,0,5,15.0,0.0,0.0,10,28.0,3.0,1.0,0.0,2.0,1.0
67888,hudlere01,1990,2,SLN,NL,89,217,30,61,11,2,7,22.0,18.0,10.0,12,31.0,1.0,2.0,2.0,1.0,3.0
67901,jacksda03,1990,1,SDN,NL,58,113,10,29,3,0,3,9.0,3.0,0.0,5,24.0,1.0,0.0,1.0,1.0,1.0
67907,javiest01,1990,2,LAN,NL,104,276,56,84,9,4,3,24.0,15.0,7.0,37,44.0,2.0,0.0,6.0,2.0,6.0
