,playerID,yearID,stint,teamID,lgID,G,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,IBB,HBP,SH,SF,GIDP
68128,murphda05,1990,1,ATL,NL,97,349,38,81,14,0,17,55.0,9.0,2.0,41,84.0,11.0,1.0,0.0,3.0,11.0
68129,murphda05,1990,2,PHI,NL,57,214,22,57,9,1,7,28.0,0.0,1.0,20,46.0,3.0,0.0,0.0,1.0,11.0
68131,murraed02,1990,1,LAN,NL,155,558,96,184,22,3,26,95.0,8.0,5.0,82,64.0,21.0,1.0,0.0,4.0,19.0
68149,nixonot01,1990,1,MON,NL,119,231,46,58,6,2,1,20.0,50.0,13.0,28,33.0,0.0,0.0,3.0,1.0,2.0
68150,noboaju01,1990,1,MON,NL,81,158,15,42,7,2,0,14.0,4.0,1.0,7,14.0,2.0,1.0,3.0,4.0,2.0
68160,oberkke01,1990,1,HOU,NL,77,150,10,31,6,1,1,12.0,1.0,1.0,15,17.0,1.0,1.0,1.0,1.0,2.0
68164,oestero01,1990,1,CIN,NL,64,154,10,46,10,1,0,13.0,1.0,2.0,10,29.0,1.0,0.0,6.0,1.0,1.0
68171,olivejo01,1990,1,CIN,NL,121,364,34,84,23,0,8,52.0,1.0,1.0,37,75.0,15.0,2.0,5.0,1.0,6.0
68173,olsongr02,1990,1,ATL,NL,100,298,36,78,12,1,7,36.0,1.0,1.0,30,51.0,4.0,2.0,1.0,1.0,8.0
68174,omallto01,1990,1,NYN,NL,82,121,14,27,7,0,3,14.0,0.0,0.0,11,20.0,1.0,0.0,0.0,1.0,1.0
68176,oneilpa01,1990,1,CIN,NL,145,503,59,136,28,0,16,78.0,13.0,11.0,53,103.0,13.0,2.0,1.0,5.0,12.0
68178,oquenjo01,1990,1,SLN,NL,156,469,38,118,17,5,1,37.0,1.0,1.0,74,46.0,8.0,0.0,5.0,5.0,7.0
68186,owensp01,1990,1,MON,NL,149,453,55,106,24,5,5,35.0,8.0,6.0,70,60.0,12.0,0.0,5.0,5.0,6.0
68187,paglimi01,1990,1,SDN,NL,128,398,29,101,23,2,7,38.0,1.0,3.0,39,66.0,3.0,3.0,2.0,4.0,12.0
68188,pagnoto01,1990,1,SLN,NL,69,220,20,61,15,0,2,23.0,1.0,1.0,14,37.0,1.0,1.0,0.0,2.0,0.0
68196,parenma01,1990,1,SDN,NL,65,189,13,42,11,0,3,16.0,1.0,0.0,16,29.0,3.0,0.0,3.0,0.0,2.0
68200,parkeri01,1990,1,SFN,NL,54,107,19,26,5,0,2,14.0,6.0,1.0,10,15.0,0.0,1.0,3.0,0.0,1.0
68212,pendlte01,1990,1,SLN,NL,121,447,46,103,20,2,6,58.0,7.0,5.0,30,58.0,8.0,1.0,0.0,6.0,12.0
68238,preslji01,1990,1,ATL,NL,140,541,59,131,34,1,19,72.0,1.0,1.0,29,130.0,0.0,3.0,0.0,4.0,10.0
68244,quinolu01,1990,1,CIN,NL,83,145,10,35,7,0,2,17.0,1.0,0.0,13,29.0,3.0,1.0,1.0,4.0,3.0
68249,raineti01,1990,1,MON,NL,130,457,65,131,11,5,9,62.0,49.0,16.0,70,43.0,8.0,3.0,0.0,8.0,9.0
68250,ramirra01,1990,1,HOU,NL,132,445,44,116,19,3,2,37.0,10.0,5.0,24,46.0,9.0,1.0,9.0,1.0,9.0
68251,ramosdo01,1990,1,CHN,NL,98,226,22,60,5,0,2,17.0,0.0,2.0,27,29.0,1.0,1.0,2.0,3.0,7.0
68256,readyra01,1990,1,PHI,NL,101,217,26,53,9,1,1,26.0,3.0,2.0,29,35.0,0.0,1.0,3.0,3.0,3.0
68258,redusga01,1990,1,PIT,NL,96,227,32,56,15,3,6,23.0,11.0,5.0,33,38.0,0.0,2.0,1.0,5.0,1.0
68262,reedje02,1990,1,CIN,NL,72,175,12,44,8,1,3,16.0,0.0,0.0,24,26.0,5.0,0.0,5.0,1.0,4.0
68269,reynorj01,1990,1,PIT,NL,95,215,25,62,10,1,0,19.0,12.0,2.0,23,35.0,1.0,0.0,0.0,2.0,12.0
68276,rileser01,1990,1,SFN,NL,92,155,22,31,2,1,8,21.0,0.0,0.0,26,26.0,3.0,0.0,2.0,1.0,2.0
68281,roberbi01,1990,1,SDN,NL,149,556,104,172,36,3,9,44.0,46.0,12.0,55,65.0,1.0,6.0,8.0,4.0,8.0
68313,saboch01,1990,1,CIN,NL,148,567,95,153,38,2,25,71.0,25.0,10.0,61,58.0,7.0,4.0,1.0,3.0,8.0
68315,salazlu01,1990,1,CHN,NL,115,410,44,104,13,3,12,47.0,3.0,1.0,19,59.0,3.0,4.0,0.0,1.0,4.0
68317,samueju01,1990,1,LAN,NL,143,492,62,119,24,3,13,52.0,38.0,20.0,51,126.0,5.0,5.0,5.0,5.0,8.0
68319,sandbry01,1990,1,CHN,NL,155,615,116,188,30,3,40,100.0,25.0,7.0,50,84.0,8.0,1.0,0.0,9.0,8.0
68324,santibe01,1990,1,SDN,NL,100,344,42,93,8,5,11,53.0,5.0,5.0,27,55.0,2.0,3.0,1.0,7.0,4.0
68325,santone01,1990,1,MON,NL,59,163,13,31,3,1,6,28.0,0.0,3.0,8,31.0,0.0,0.0,0.0,5.0,5.0
68326,sassema01,1990,1,NYN,NL,100,270,31,83,14,0,6,41.0,0.0,0.0,15,19.0,9.0,1.0,0.0,2.0,7.0
68341,sciosmi01,1990,1,LAN,NL,135,435,46,115,25,0,12,66.0,4.0,1.0,55,31.0,14.0,3.0,1.0,4.0,11.0
68350,sharpmi01,1990,1,LAN,NL,129,357,42,106,14,2,3,36.0,15.0,6.0,46,39.0,6.0,1.0,8.0,3.0,5.0
68364,slaugdo01,1990,1,PIT,NL,84,230,27,69,18,3,4,29.0,0.0,1.0,27,27.0,2.0,3.0,3.0,4.0,2.0
68369,smithdw01,1990,1,CHN,NL,117,290,34,76,15,0,6,27.0,11.0,6.0,28,46.0,2.0,2.0,0.0,2.0,7.0
68373,smithlo01,1990,1,ATL,NL,135,466,72,142,27,9,9,42.0,10.0,10.0,58,69.0,3.0,6.0,1.0,6.0,2.0
68375,smithoz01,1990,1,SLN,NL,143,512,61,130,21,1,1,50.0,32.0,6.0,61,33.0,4.0,2.0,7.0,10.0,8.0
68391,stephph01,1990,1,SDN,NL,103,182,26,38,9,1,4,19.0,2.0,1.0,30,43.0,1.0,0.0,0.0,1.0,3.0
68400,strawda01,1990,1,NYN,NL,152,542,92,150,18,1,37,108.0,15.0,8.0,70,110.0,15.0,4.0,0.0,5.0,5.0
68401,stubbfr01,1990,1,HOU,NL,146,448,59,117,23,2,23,71.0,19.0,6.0,48,114.0,3.0,2.0,1.0,2.0,4.0
68417,templga01,1990,1,SDN,NL,144,505,45,125,25,3,9,59.0,1.0,4.0,24,59.0,7.0,0.0,8.0,4.0,17.0
68422,teufeti01,1990,1,NYN,NL,80,175,28,43,11,0,10,24.0,0.0,0.0,15,33.0,1.0,0.0,1.0,1.0,5.0
68425,thomaan01,1990,1,ATL,NL,84,278,26,61,8,0,5,30.0,2.0,1.0,11,43.0,2.0,0.0,0.0,1.0,10.0
68427,thompmi02,1990,1,SLN,NL,135,418,42,91,14,7,6,30.0,25.0,5.0,39,60.0,5.0,5.0,1.0,0.0,4.0
68429,thompro01,1990,1,SFN,NL,144,498,67,122,22,3,15,56.0,14.0,4.0,34,96.0,1.0,6.0,8.0,3.0,9.0
68430,thondi01,1990,1,PHI,NL,149,552,54,141,20,4,8,48.0,12.0,5.0,37,77.0,10.0,3.0,1.0,2.0,14.0
68442,treadje01,1990,1,ATL,NL,128,474,56,134,20,2,11,59.0,3.0,4.0,25,42.0,1.0,3.0,5.0,4.0,10.0
68447,uribejo01,1990,1,SFN,NL,138,415,35,103,8,6,1,24.0,5.0,9.0,29,49.0,13.0,0.0,4.0,0.0,8.0
68455,vanslan01,1990,1,PIT,NL,136,493,67,140,26,6,17,77.0,14.0,4.0,66,89.0,2.0,1.0,3.0,4.0,6.0
68464,villahe01,1990,1,CHN,NL,52,114,14,31,4,1,7,18.0,1.0,0.0,4,27.0,2.0,2.0,0.0,0.0,3.0
68475,walkela01,1990,1,MON,NL,133,419,59,101,18,3,19,51.0,21.0,7.0,49,112.0,5.0,5.0,3.0,2.0,8.0
68477,wallati01,1990,1,MON,NL,161,626,69,185,37,5,21,98.0,6.0,9.0,42,80.0,11.0,3.0,0.0,7.0,12.0
68478,wallide01,1990,1,SLN,NL,78,127,7,28,5,0,1,19.0,0.0,0.0,8,15.0,0.0,0.0,1.0,1.0,5.0
68480,waltoje01,1990,1,CHN,NL,101,392,63,103,16,2,2,21.0,14.0,7.0,50,70.0,1.0,4.0,1.0,2.0,4.0
68505,whitter01,1990,1,ATL,NL,67,180,14,31,8,0,2,10.0,0.0,2.0,23,27.0,1.0,0.0,0.0,1.0,6.0
